XCoord,YCoord,OBJECTID,CLASS,BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_9,BAND_10,BAND_11,BAND_12,BAND_13,BAND_14,BAND_15,BAND_16
8082535.74960000,2612311.21700000,81,1,148,79,103,60,99,53,69,40,2,2,2,1,296,201,240,159
8090427.58940000,2643025.59500000,82,1,150,80,105,62,100,53,70,42,7,4,5,3,1050,520,590,425
8090145.41000000,2634506.89140000,83,1,133,126,147,41,89,84,98,27,9,7,6,3,1197,889,840,481
8083576.43050000,2611148.51810000,84,1,123,38,0,53,82,25,0,35,5,2,0,3,615,193,0,276
8066684.90950000,2645547.20160000,85,1,150,131,144,32,100,87,96,21,13,8,7,3,1950,1042,900,481
8083585.22410000,2637044.04110000,86,1,150,110,142,59,100,74,95,39,4,4,4,2,600,490,600,281
8098864.93230000,2632525.37120000,87,1,145,47,0,60,97,31,0,40,3,1,0,2,435,155,0,212
8082773.37290000,2612232.86810000,88,1,145,86,111,56,97,57,74,38,2,2,2,1,290,219,236,170
8066673.44860000,2645517.28280000,89,1,150,133,145,31,100,89,97,21,11,8,6,3,1650,1053,900,477
8077052.43010000,2627378.75190000,90,1,127,117,138,44,85,78,92,29,5,5,5,2,635,610,600,264
8066669.53420000,2645545.87390000,91,1,150,130,144,34,100,87,96,23,13,8,6,3,1950,1042,900,491
8082518.01230000,2612290.54690000,92,1,150,75,91,61,100,50,61,41,2,2,2,1,300,196,225,164
8081000.53890000,2622762.09360000,93,1,150,90,144,71,100,60,96,47,5,3,5,3,750,469,600,391
8077553.30520000,2627928.46650000,94,1,148,116,136,45,99,78,91,30,6,5,5,3,888,618,558,354
8090166.13510000,2634526.94590000,95,1,111,123,147,46,74,82,98,31,11,6,6,4,1221,861,750,497
8090139.64540000,2634485.33610000,96,1,141,127,147,40,94,84,98,27,8,7,6,3,1128,904,900,480
8077596.37990000,2627921.94540000,97,1,147,110,129,47,98,73,86,32,7,5,5,3,1029,655,624,379
8080959.52660000,2622765.35270000,98,1,150,93,144,69,100,62,96,46,5,3,4,2,750,450,600,351
8071876.88650000,2660726.35680000,99,1,88,76,82,43,59,51,55,29,4,3,4,2,352,301,304,188
8082540.17240000,2612295.85110000,100,1,150,79,103,60,100,53,69,40,2,2,2,1,300,200,237,157
8077614.52910000,2627931.74960000,101,1,145,107,127,50,97,71,85,33,7,5,5,3,1015,623,600,383
8077585.33860000,2627925.79290000,102,1,150,112,133,46,100,75,89,31,7,5,5,3,1050,659,615,374
8083619.16030000,2637073.28440000,103,1,126,94,132,65,84,63,88,44,4,3,4,2,504,440,568,318
8090093.97830000,2634522.84800000,104,1,150,116,141,51,100,78,94,34,7,5,5,3,1050,706,600,469
8090167.97550000,2634455.61350000,105,1,150,127,145,39,100,85,97,26,6,7,8,3,900,981,1064,474
8078063.96240000,2628210.25570000,106,1,150,98,130,61,100,65,87,41,5,4,4,2,750,463,528,335
8083606.70130000,2637016.47920000,107,1,150,120,144,49,100,80,96,33,4,4,4,2,600,528,600,245
8090202.07740000,2634511.00760000,108,1,150,125,148,46,100,83,99,30,12,7,7,4,1800,913,900,492
8077000.85070000,2627334.17010000,109,1,150,115,127,39,100,77,85,26,7,5,5,2,1050,632,650,272
8081013.19170000,2622767.38140000,110,1,150,90,145,70,100,60,97,47,6,3,5,3,900,482,665,400
8078035.79840000,2628072.30980000,111,1,150,105,121,48,100,70,81,32,8,5,5,2,1200,581,600,322
8090436.00270000,2643009.59030000,112,1,150,76,93,63,100,51,62,42,7,4,5,3,1050,494,552,427
8090164.21740000,2634474.20850000,113,1,150,126,147,41,100,84,98,27,6,7,7,3,900,943,924,480
8090399.36660000,2642982.60040000,114,1,150,79,99,63,100,53,66,42,8,4,5,3,1200,509,580,427
8082535.30600000,2612292.76420000,115,1,150,79,103,60,100,53,69,40,2,2,2,1,300,200,237,157
8098854.02060000,2632511.16490000,116,1,139,47,0,60,93,31,0,40,4,1,0,2,556,155,0,212
8090418.34380000,2643007.16880000,117,1,150,82,108,62,100,55,72,42,7,4,6,3,1050,534,600,425
8090390.75450000,2642957.68040000,118,1,150,74,88,65,100,49,59,43,5,4,5,3,750,462,515,425
8090100.77590000,2634493.61730000,119,1,150,120,142,46,100,80,95,30,6,6,5,3,900,785,740,481
8090169.59690000,2634501.69100000,120,1,132,125,147,43,88,83,98,29,10,7,6,3,1320,900,900,488
8090180.10950000,2634520.30430000,121,1,148,123,147,46,99,82,98,31,12,6,6,4,1776,877,882,499
8082728.38260000,2612196.27940000,122,1,135,92,115,54,90,61,77,36,3,2,2,1,405,252,242,185
8090201.75670000,2634510.50920000,123,1,150,125,148,46,100,83,99,30,12,7,7,4,1800,913,900,492
8098869.19660000,2632561.69540000,124,1,130,48,0,60,87,32,0,40,2,1,0,2,260,160,0,213
8071852.76030000,2660712.93550000,125,1,45,73,81,43,30,49,54,29,4,3,4,2,180,299,300,200
8090102.03730000,2634518.34540000,126,1,150,118,142,50,100,78,95,33,9,5,5,3,1350,748,650,489
8083606.52450000,2637068.98500000,127,1,127,96,135,65,85,64,90,44,4,3,4,2,508,447,580,315
8090092.58160000,2634489.81560000,128,1,150,119,141,46,100,79,94,31,5,5,5,3,750,740,600,463
8083601.60210000,2637036.53750000,129,1,141,114,142,54,94,76,95,36,4,4,4,2,564,508,600,267
8083584.67800000,2611168.75570000,130,1,121,40,0,53,81,27,0,35,5,2,0,3,605,207,0,282
8077013.84600000,2627390.39680000,131,1,150,114,129,43,100,76,86,29,5,5,5,2,750,591,600,267
8066696.75500000,2645529.74790000,132,1,150,132,144,30,100,88,96,20,13,8,7,3,1950,1040,900,466
8078079.61140000,2628214.95110000,133,1,150,91,126,64,100,61,84,43,4,3,4,2,600,436,484,350
8090120.12440000,2634460.25860000,134,1,150,122,144,45,100,81,96,30,6,6,6,3,900,854,861,495
8082629.29870000,2611967.69340000,135,1,141,90,114,59,94,60,76,39,7,4,5,3,987,489,576,364
8077016.58250000,2627321.07890000,136,1,91,118,130,38,61,79,87,25,6,5,5,2,546,647,648,257
8090393.90230000,2642977.58110000,137,1,150,78,96,64,100,52,64,43,7,4,5,3,1050,494,574,424
8077025.85270000,2627388.20750000,138,1,150,117,132,41,100,78,88,27,6,5,5,2,900,612,615,258
8071881.62160000,2660714.26010000,139,1,84,76,84,43,56,51,56,29,4,3,4,2,336,299,304,189
8090169.51590000,2634448.37030000,140,1,150,127,145,39,100,85,97,26,6,7,8,3,900,981,1064,474
8090128.74610000,2634511.76450000,141,1,150,123,147,45,100,82,98,30,11,6,5,4,1650,840,750,497
8077522.28550000,2627912.60710000,142,1,148,113,135,45,99,75,90,30,5,5,5,3,740,629,576,361
8090448.30180000,2643018.25350000,143,1,150,73,88,63,100,49,59,42,7,4,5,3,1050,473,520,428
8090193.71130000,2634450.82640000,144,1,150,129,147,38,100,86,98,26,8,7,8,3,1200,1016,1116,463
8082605.89320000,2611983.41500000,145,1,141,83,106,61,94,56,71,41,7,4,4,3,987,447,528,364
8071874.01670000,2660724.19800000,146,1,87,74,81,43,58,50,54,29,4,3,4,2,348,296,300,190
8082608.24660000,2611991.90980000,147,1,145,81,106,62,97,54,71,42,6,4,4,3,870,436,504,368
8090219.26260000,2634467.28370000,148,1,150,130,148,41,100,87,99,27,9,7,8,3,1350,1012,1080,464
8082710.20400000,2612198.15800000,149,1,133,92,115,54,89,62,77,36,3,2,2,1,399,255,246,185
8077473.46680000,2626265.70650000,150,1,150,86,102,56,100,58,68,37,2,2,2,1,300,236,242,174
8080532.14920000,2634520.55200000,151,2,150,112,150,61,100,75,100,41,4,4,4,2,600,502,600,284
8080412.15180000,2634414.67120000,152,2,99,96,142,67,66,64,95,45,6,4,4,3,594,516,600,388
8079033.92920000,2629558.46960000,153,2,150,104,145,65,100,69,97,43,4,3,4,2,600,426,520,281
8086813.69710000,2634087.74290000,154,2,142,117,139,49,95,78,93,33,3,3,3,1,426,345,414,156
8086819.73590000,2634097.38950000,155,2,142,117,139,50,95,78,93,33,3,3,3,1,426,345,414,157
8084602.45310000,2646465.55190000,156,2,150,108,142,57,100,72,95,38,9,7,8,3,1350,902,1088,490
8080834.05870000,2635724.31490000,157,2,148,127,150,49,99,85,100,33,7,6,6,3,1036,839,900,382
8086779.94350000,2634123.28200000,158,2,99,117,139,52,66,78,93,35,3,2,3,1,297,345,417,160
8067199.76480000,2638627.18520000,159,2,147,118,138,46,98,79,92,31,4,3,3,1,588,424,444,186
8081091.69360000,2634987.41440000,160,2,150,123,150,56,100,82,100,37,6,5,6,2,900,761,900,365
8074646.62120000,2639740.16400000,161,2,141,110,139,56,94,73,93,37,6,4,4,2,846,506,576,275
8070862.53290000,2644293.21660000,162,2,127,32,0,44,85,22,0,29,3,1,0,1,381,97,0,135
8081351.50330000,2636134.37860000,163,2,148,104,142,60,99,69,95,40,6,5,6,3,888,652,800,390
8081707.44720000,2628223.40080000,164,2,141,103,136,59,94,69,91,40,3,2,3,1,423,317,378,195
8074649.38500000,2639742.96790000,165,2,141,110,139,56,94,73,93,37,6,4,4,2,846,506,576,275
8084602.66100000,2646469.74560000,166,2,150,108,142,57,100,72,95,38,9,7,8,3,1350,902,1088,490
8081703.94730000,2628264.14700000,167,2,150,109,141,58,100,73,94,39,3,2,3,1,450,330,408,189
8080822.62750000,2635721.68520000,168,2,144,126,150,51,96,84,100,34,7,6,6,3,1008,837,900,390
8081327.84420000,2636073.12300000,169,2,150,116,147,55,100,78,98,37,7,5,6,2,1050,714,870,350
8081705.38050000,2628272.60280000,170,2,150,109,141,58,100,73,94,39,3,2,3,1,450,330,408,189
8081710.65310000,2628210.02230000,171,2,147,101,135,60,98,67,90,40,3,2,3,1,441,313,378,197
8081105.13120000,2634988.09350000,172,2,150,121,150,57,100,81,100,38,6,5,6,3,900,759,900,384
8073043.81890000,2638239.55900000,173,2,148,94,115,55,99,63,77,37,5,4,5,2,740,488,556,298
8084602.64550000,2646452.74970000,174,2,150,106,142,58,100,71,95,39,8,7,8,3,1200,888,1064,503
8081279.42100000,2636118.87180000,175,2,142,113,147,57,95,75,98,38,6,5,6,3,852,722,882,379
8086790.01740000,2634125.25150000,176,2,144,117,141,51,96,78,94,34,3,2,3,1,432,345,417,159
8080822.47580000,2635722.97140000,177,2,144,126,150,51,96,84,100,34,7,6,6,3,1008,837,900,390
8081048.24230000,2632465.92000000,178,2,120,95,124,59,80,64,83,39,4,4,4,2,480,481,568,309
8081703.33040000,2628276.28060000,179,2,150,109,141,58,100,73,94,39,3,2,3,1,450,330,408,189
8080722.91470000,2634677.96650000,180,2,150,125,150,54,100,84,100,36,6,5,5,2,900,711,750,337
8079032.58420000,2629561.53610000,181,2,150,104,145,65,100,69,97,43,4,3,4,2,600,426,520,281
8086795.10370000,2634132.52130000,182,2,144,117,141,51,96,78,94,34,3,2,3,1,432,345,417,159
8086910.41560000,2656807.75310000,183,2,120,78,102,60,80,52,68,40,5,3,4,2,600,355,444,283
8083008.95800000,2655521.52220000,184,2,150,104,133,58,100,70,89,39,5,5,5,3,750,659,738,423
8083302.73810000,2655432.41790000,185,2,141,47,0,61,94,31,0,41,10,4,0,5,1410,461,0,619
8073070.56930000,2638215.25830000,186,2,150,102,126,54,100,68,84,36,4,4,4,2,600,484,540,280
8080832.92030000,2635720.29430000,187,2,150,128,150,48,100,86,100,32,8,6,6,3,1200,843,900,376
8083020.92610000,2655531.96460000,188,2,148,102,130,58,99,68,87,39,5,5,5,3,740,626,705,409
8086812.09980000,2634084.12620000,189,2,142,117,139,49,95,78,93,33,3,3,3,1,426,345,414,156
8073148.36350000,2638227.33480000,190,2,150,103,124,53,100,69,83,36,4,4,4,2,600,440,496,245
8083302.77950000,2655436.18550000,191,2,148,47,0,61,99,31,0,41,10,4,0,5,1480,467,0,624
8070215.07980000,2644480.67220000,192,2,129,40,0,48,86,26,0,32,5,2,0,2,645,183,0,224
8070858.42300000,2644295.42840000,193,2,127,32,0,44,85,22,0,29,3,1,0,1,381,97,0,135
8088045.59840000,2640817.02210000,194,2,148,125,144,45,99,83,96,30,3,3,3,1,444,461,450,198
8086785.66960000,2634075.66460000,195,2,148,115,138,51,99,77,92,34,2,3,3,1,296,349,414,163
8080726.78520000,2634677.79000000,196,2,150,124,150,55,100,83,100,37,6,5,6,2,900,711,882,347
8080817.75330000,2635709.27250000,197,2,150,127,150,50,100,85,100,33,8,6,6,3,1200,842,900,384
8086909.82820000,2656807.02620000,198,2,120,78,102,60,80,52,68,40,5,3,4,2,600,355,444,283
8080825.80980000,2635709.78820000,199,2,150,128,150,48,100,86,100,32,8,6,6,3,1200,843,900,376
8073072.09660000,2638224.67910000,200,2,147,101,124,54,98,68,83,36,4,4,4,2,588,484,540,278
8086809.20440000,2634086.32570000,201,2,132,117,139,49,88,78,93,33,3,3,3,1,396,348,414,155
8086794.09910000,2634076.19330000,202,2,144,117,139,49,96,78,93,33,2,3,3,1,288,353,414,158
8081714.13810000,2628203.50970000,203,2,141,101,135,60,94,67,90,40,4,2,3,1,564,315,381,197
8080700.96260000,2634649.93780000,204,2,150,126,150,53,100,84,100,35,6,5,5,2,900,701,750,329
8086812.91870000,2634090.29140000,205,2,142,117,139,49,95,78,93,33,3,3,3,1,426,345,414,156
8073146.32560000,2638231.68770000,206,2,150,103,124,53,100,69,83,36,4,4,4,2,600,440,496,245
8086808.88250000,2634088.62600000,207,2,132,117,139,49,88,78,93,33,3,3,3,1,396,348,414,155
8086821.23060000,2633919.47710000,208,2,150,110,136,56,100,74,91,37,4,3,3,1,600,389,441,210
8081733.76040000,2628217.55120000,209,2,150,101,135,60,100,67,90,40,3,2,3,1,450,322,384,202
8073120.50530000,2638251.63600000,210,2,148,100,124,55,99,67,83,37,5,4,4,2,740,449,496,264
8086798.46580000,2634081.55690000,211,2,132,117,139,49,88,78,93,33,3,3,3,1,396,348,414,155
8083256.14010000,2655469.84490000,212,2,130,52,0,59,87,35,0,40,12,4,0,5,1560,443,0,575
8086907.75720000,2656821.76060000,213,2,88,77,100,60,59,51,67,40,4,3,4,2,352,355,444,285
8080827.91200000,2635715.01000000,214,2,150,128,150,48,100,86,100,32,8,6,6,3,1200,843,900,376
8081737.10500000,2628224.29630000,215,2,150,103,136,59,100,69,91,40,3,2,3,1,450,326,390,200
8083002.98500000,2655520.32030000,216,2,150,104,133,58,100,70,89,39,5,5,5,3,750,659,738,423
8087041.51770000,2656743.17130000,217,2,111,80,105,59,74,53,70,39,4,3,4,2,444,331,424,249
8084603.66420000,2646463.83550000,218,2,150,108,142,57,100,72,95,38,9,7,8,3,1350,902,1088,490
8086821.95050000,2633910.41180000,219,2,150,110,136,56,100,74,91,37,4,3,3,1,600,389,441,210
8081095.56000000,2634982.23380000,220,2,150,123,150,56,100,82,100,37,6,5,6,2,900,761,900,365
8086821.79760000,2634090.57100000,221,2,142,117,139,49,95,78,93,33,3,3,3,1,426,345,414,156
8080716.05140000,2634692.04860000,222,2,150,127,150,52,100,85,100,35,6,5,6,2,900,730,882,332
8083253.79650000,2655467.98680000,223,2,130,52,0,59,87,35,0,40,12,4,0,5,1560,443,0,575
8086820.38370000,2634090.40480000,224,2,142,117,139,49,95,78,93,33,3,3,3,1,426,345,414,156
8081731.76170000,2628236.93150000,225,2,150,105,139,59,100,70,93,39,2,2,3,1,300,330,405,199
